"","Ozone","Solar.R","Wind","Temp","Month","Date"
"1",41,190,7.4,19.4,5,1973-05-01
"2",36,118,8,22.2,5,1973-05-02
"3",12,149,12.6,23.3,5,1973-05-03
"4",18,313,11.5,16.7,5,1973-05-04
"5",NA,185.931506849315,14.3,13.3,5,1973-05-05
"6",28,185.931506849315,14.9,18.9,5,1973-05-06
"7",23,299,8.6,18.3,5,1973-05-07
"8",19,99,13.8,15,5,1973-05-08
"9",8,19,20.1,16.1,5,1973-05-09
"10",NA,194,8.6,20.6,5,1973-05-10
"11",7,185.931506849315,6.9,23.3,5,1973-05-11
"12",16,256,9.7,20.6,5,1973-05-12
"13",11,290,9.2,18.9,5,1973-05-13
"14",14,274,10.9,20,5,1973-05-14
"15",18,65,13.2,14.4,5,1973-05-15
"16",14,334,11.5,17.8,5,1973-05-16
"17",34,307,12,18.9,5,1973-05-17
"18",6,78,18.4,13.9,5,1973-05-18
"19",30,322,11.5,20,5,1973-05-19
"20",11,44,9.7,16.7,5,1973-05-20
"21",1,8,9.7,15,5,1973-05-21
"22",11,320,16.6,22.8,5,1973-05-22
"23",4,25,9.7,16.1,5,1973-05-23
"24",32,92,12,16.1,5,1973-05-24
"25",NA,66,16.6,13.9,5,1973-05-25
"26",NA,266,14.9,14.4,5,1973-05-26
"27",NA,185.931506849315,8,13.9,5,1973-05-27
"28",23,13,12,19.4,5,1973-05-28
"29",45,252,14.9,27.2,5,1973-05-29
"30",115,223,5.7,26.1,5,1973-05-30
"31",37,279,7.4,24.4,5,1973-05-31
"32",NA,286,8.6,25.6,6,1973-06-01
"33",NA,287,9.7,23.3,6,1973-06-02
"34",NA,242,16.1,19.4,6,1973-06-03
"35",NA,186,9.2,28.9,6,1973-06-04
"36",NA,220,8.6,29.4,6,1973-06-05
"37",NA,264,14.3,26.1,6,1973-06-06
"38",29,127,9.7,27.8,6,1973-06-07
"39",NA,273,6.9,30.6,6,1973-06-08
"40",71,291,13.8,32.2,6,1973-06-09
"41",39,323,11.5,30.6,6,1973-06-10
"42",NA,259,10.9,33.9,6,1973-06-11
"43",NA,250,9.2,33.3,6,1973-06-12
"44",23,148,8,27.8,6,1973-06-13
"45",NA,332,13.8,26.7,6,1973-06-14
"46",NA,322,11.5,26.1,6,1973-06-15
"47",21,191,14.9,25,6,1973-06-16
"48",37,284,20.7,22.2,6,1973-06-17
"49",20,37,9.2,18.3,6,1973-06-18
"50",12,120,11.5,22.8,6,1973-06-19
"51",13,137,10.3,24.4,6,1973-06-20
"52",NA,150,6.3,25,6,1973-06-21
"53",NA,59,1.7,24.4,6,1973-06-22
"54",NA,91,4.6,24.4,6,1973-06-23
"55",NA,250,6.3,24.4,6,1973-06-24
"56",NA,135,8,23.9,6,1973-06-25
"57",NA,127,8,25.6,6,1973-06-26
"58",NA,47,10.3,22.8,6,1973-06-27
"59",NA,98,11.5,26.7,6,1973-06-28
"60",NA,31,14.9,25,6,1973-06-29
"61",NA,138,8,28.3,6,1973-06-30
"62",135,269,4.1,28.9,7,1973-07-01
"63",49,248,9.2,29.4,7,1973-07-02
"64",32,236,9.2,27.2,7,1973-07-03
"65",NA,101,10.9,28.9,7,1973-07-04
"66",64,175,4.6,28.3,7,1973-07-05
"67",40,314,10.9,28.3,7,1973-07-06
"68",77,276,5.1,31.1,7,1973-07-07
"69",97,267,6.3,33.3,7,1973-07-08
"70",97,272,5.7,33.3,7,1973-07-09
"71",85,175,7.4,31.7,7,1973-07-10
"72",NA,139,8.6,27.8,7,1973-07-11
"73",10,264,14.3,22.8,7,1973-07-12
"74",27,175,14.9,27.2,7,1973-07-13
"75",NA,291,14.9,32.8,7,1973-07-14
"76",7,48,14.3,26.7,7,1973-07-15
"77",48,260,6.9,27.2,7,1973-07-16
"78",35,274,10.3,27.8,7,1973-07-17
"79",61,285,6.3,28.9,7,1973-07-18
"80",79,187,5.1,30.6,7,1973-07-19
"81",63,220,11.5,29.4,7,1973-07-20
"82",16,7,6.9,23.3,7,1973-07-21
"83",NA,258,9.7,27.2,7,1973-07-22
"84",NA,295,11.5,27.8,7,1973-07-23
"85",80,294,8.6,30,7,1973-07-24
"86",108,223,8,29.4,7,1973-07-25
"87",20,81,8.6,27.8,7,1973-07-26
"88",52,82,12,30,7,1973-07-27
"89",82,213,7.4,31.1,7,1973-07-28
"90",50,275,7.4,30,7,1973-07-29
"91",64,253,7.4,28.3,7,1973-07-30
"92",59,254,9.2,27.2,7,1973-07-31
"93",39,83,6.9,27.2,8,1973-08-01
"94",9,24,13.8,27.2,8,1973-08-02
"95",16,77,7.4,27.8,8,1973-08-03
"96",78,185.931506849315,6.9,30,8,1973-08-04
"97",35,185.931506849315,7.4,29.4,8,1973-08-05
"98",66,185.931506849315,4.6,30.6,8,1973-08-06
